rownames,sp,sex,index,FL,RW,CL,CW,BD
1,B,M,1,8.1,6.7,16.1,19.0,7.0
2,B,M,2,8.8,7.7,18.1,20.8,7.4
3,B,F,3,9.2,7.8,19.0,22.4,7.7
4,B,F,4,8.5,7.0,17.5,20.0,7.2
5,B,M,5,8.9,7.5,18.0,21.0,7.5
6,B,F,6,9.0,7.9,19.5,22.8,8.0
7,B,M,7,8.3,6.8,16.5,19.5,7.1
8,B,F,8,9.4,8.1,20.0,23.0,8.2
9,B,M,9,8.6,7.2,17.2,20.2,7.3
10,B,F,10,9.1,7.6,18.8,21.7,7.6
11,O,M,11,7.5,6.2,15.0,17.5,6.5
12,O,F,12,7.8,6.5,15.8,18.3,6.8
13,O,M,13,7.2,6.0,14.5,17.0,6.3
14,O,F,14,8.0,6.8,16.0,18.8,6.9
15,O,M,15,7.6,6.3,15.3,17.8,6.6
16,O,F,16,8.2,6.9,16.5,19.2,7.0
17,O,M,17,7.4,6.1,14.8,17.2,6.4
18,O,F,18,8.1,6.7,16.2,18.9,6.9
19,O,M,19,7.3,6.0,14.6,17.1,6.3
20,O,F,20,8.3,7.0,16.8,19.5,7.1
